列1,列2,列3,列4,列5,列6
HTML+CSS基础课程,838552,初级,//img.mukewang.com/529dc3380001379906000338-240-135.jpg,['HTML/CSS'],HTML+CSS基础教程8小时带领大家步步深入学习标签用法和意义
Java入门第一季,783107,初级,//img4.mukewang.com/57035ff200014b8a06000338-240-135.jpg,['Java'],本教程从Java环境搭建、工具使用、基础语法开始，带你入门
C语言入门,558378,初级,//img2.mukewang.com/574669dc0001993606000338-240-135.jpg,['C'],C语言入门视频教程，带你进入编程世界的必修课-C语言
JavaScript入门篇,540821,初级,//img2.mukewang.com/53e1d0470001ad1e06000338-240-135.jpg,['JavaScript'],JavaScript做为一名Web工程师的必备技术，本教程让您快速入门
PS入门教程——新手过招,491911,初级,//img3.mukewang.com/53a28e960001311b06000338-240-135.jpg,['设计工具'],慕课网推出的PS入门教程，PS入门学习必备课程，带你轻松入门
Python入门,420799,初级,//img1.mukewang.com/540e57300001d6d906000338-240-135.jpg,['Python'],学python入门视频教程，让你快速入门并能编写简单的Python程序
Java入门第二季,382877,初级,//img4.mukewang.com/570360620001390f06000338-240-135.jpg,['Java'],Java 面向对象编程基本实现原理，进一步探索 Java 世界的奥秘
PHP入门篇,371392,初级,//img2.mukewang.com/53daee770001dd0706000338-240-135.jpg,['PHP'],PHP入门教程轻松学习，行业大牛帮您快速掌握PHP编程基础知识。
JavaScript进阶篇,346180,中级,//img3.mukewang.com/574678bd00010a7206000338-240-135.jpg,['JavaScript'],本课程从如何插入JS代码开始，带您进入网页动态交互世界
Java入门第三季,303537,初级,//img.mukewang.com/5703604a0001694406000338-240-135.jpg,['Java'],Java中你必须懂得常用技能，不容错过的精彩，快来加入吧
与MySQL的零距离接触,297599,初级,//img3.mukewang.com/570756b0000146fc06000338-240-135.jpg,['MySQL'],本课程涵盖全部MySQL数据库的基础，学习MySQL数据库的基础知识
 Linux达人养成计划 I,292244,初级,//img4.mukewang.com/57035f110001a57906000338-240-135.jpg,['Linux'],Linux入门视频教程，以通俗易懂的语言带你感受linux之美
Android攻城狮的第一门课（入门篇）,286408,初级,//img2.mukewang.com/53bf89100001684e06000338-240-135.jpg,['Android'],想快速掌握Android应用开发基础，选择学习这门课程就对了。
PS大神通关教程,277589,初级,//img.mukewang.com/53d068840001a89906000338-240-135.jpg,['设计工具'],讲师分享实战经验，让你真正掌握PS使用方，实现ps菜鸟到大神的逆袭
玩转Bootstrap（基础）,253468,中级,//img4.mukewang.com/5704ae850001f59906000338-240-135.jpg,['Bootstrap'],告诉你使用Bootstrap，并且能够独立定制出适合自己的Bootstrap
JavaScript深入浅出,223444,高级,//img2.mukewang.com/5705d3a3000129d006000338-240-135.jpg,['JavaScript'],由浅入深学习JS语言特性，且解析JS常见误区，从入门到掌握
前端工程师必备的PS技能——切图篇,215095,中级,//img.mukewang.com/578741d3000151e806000338-240-135.jpg,"['前端工具', '设计工具']",前端开发需要的Photoshop技巧，结合实际例子教会大家如何操作
C++远征之起航篇,207189,初级,//img1.mukewang.com/5707604300018d0406000338-240-135.jpg,['C++'],C++亮点尽在其中，本课程是在C语言基础上的一个延伸，得以升华
前端开发工具技巧介绍—DW篇,197753,初级,//img1.mukewang.com/5704a5d50001582f06000338-240-135.jpg,['前端工具'],本教程主要讲解Dreamweaver使用技巧和重要实用模块，新手入门必备
AngularJS实战,193574,高级,//img.mukewang.com/5707699500012d5a06000338-240-135.jpg,['Angular'],一起学习AngularJS的基础教程，通过实例学习并学会AngularJS
进击Node.js基础（一）,191867,高级,//img1.mukewang.com/56f22f3900012d0206000338-240-135.jpg,['Node.js'],本视频教程带你揭开Node.js的面纱，带你走进一个全新世界
Ajax全接触,187220,高级,//img3.mukewang.com/549bda090001c53e06000338-240-135.jpg,['JavaScript'],本课程通过一个案例，讲解Ajax的相关概念原理实现方式和应用
十天精通CSS3,186064,高级,//img1.mukewang.com/576b7c04000144dc06000338-240-135.jpg,['CSS3'],本课程为CSS3入门教程，深刻详解CSS3知识让网页穿上绚丽装备
JAVA遇见HTML——JSP篇,181907,初级,//img2.mukewang.com/576b7afb00019e4906000338-240-135.jpg,['Java'],Java Web入门级教程JSP，带你轻松的学习JSP基础知识
Spring入门篇,180715,高级,//img2.mukewang.com/5704d2a90001bb1b06000338-240-135.jpg,['Java'],为您带来IOC和AOP的基本概念及用法，为后续高级课程学习打下基础
